Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jaden Schwartz,20232024,SEA,L,C,62,13,17,30,-15,24,0.48,6,20,7,10,0,0,0,0,117,11.1,16:22,57.1
Ryan Donato,20232024,CHI,L,C,78,12,18,30,-14,26,0.38,11,27,1,3,0,0,0,0,149,8.1,14:00,44.1
Alexandre Texier,20232024,CBJ,L,C,78,12,18,30,-5,38,0.38,10,26,0,2,2,2,0,1,109,11,15:11,31.6
Ryan McLeod,20232024,EDM,L,C,81,12,18,30,10,10,0.37,12,27,0,1,0,2,0,3,106,11.3,14:15,50.8
Marcus Johansson,20232024,MIN,L,L,78,11,19,30,-15,22,0.38,10,24,1,6,0,0,0,0,112,9.8,15:53,18.8
Zach Benson,20232024,BUF,L,L,71,11,19,30,-3,36,0.42,11,28,0,2,0,0,0,1,98,11.2,14:31,29.4
Jordan Staal,20232024,CAR,L,C,80,10,20,30,-14,44,0.38,9,25,0,1,1,4,0,3,123,8.1,15:23,58.1
Alexander Wennberg,20232024,"SEA,NYR",L,C,79,10,20,30,0,14,0.38,6,23,3,6,1,1,0,4,90,11.1,17:59,46.5
Cam York,20232024,PHI,L,D,82,10,20,30,-13,44,0.37,10,22,0,6,0,2,0,1,134,7.5,22:37,--
Thomas Chabot,20232024,OTT,L,D,51,9,21,30,-3,22,0.59,8,23,1,7,0,0,0,0,118,7.6,23:03,--
K'Andre Miller,20232024,NYR,L,D,80,8,22,30,5,49,0.38,8,28,0,1,0,1,1,3,96,8.3,21:34,--
Marcus Pettersson,20232024,PIT,L,D,82,4,26,30,28,44,0.37,4,30,0,0,0,0,1,1,106,3.8,22:40,--
Justin Faulk,20232024,STL,R,D,60,2,28,30,-2,39,0.5,1,22,1,7,0,1,0,1,132,1.5,21:58,--
Michael Carcone,20232024,ARI,L,L,74,21,8,29,-2,35,0.39,19,26,1,2,1,1,0,4,111,18.9,11:16,30.8
Yegor Chinakhov,20232024,CBJ,L,R,53,16,13,29,-3,6,0.55,15,27,1,2,0,0,0,3,110,14.6,15:10,7.1
Pius Suter,20232024,VAN,L,C,67,14,15,29,17,16,0.43,12,24,2,5,0,0,0,3,105,13.3,15:30,49.3
Kevin Hayes,20232024,STL,L,R,79,13,16,29,0,12,0.37,13,24,0,5,0,0,0,2,153,8.5,14:28,57
Leo Carlsson,20232024,ANA,L,C,55,12,17,29,-11,16,0.53,8,20,4,9,0,0,0,0,109,11,18:07,34.8
