Player,Position,cps
Alex Kerfoot,C,0.3889252188435739
Ryan Hartman,R,0.3957919482730153
Ivan Barbashev,C,0.3989460964242254
Tommy Novak,C,0.3663142688719464
Anthony Cirelli,C,0.4320509222651155
William Eklund,L,0.379875495393373
Jordan Eberle,R,0.4002619051980138
Evander Kane,L,0.4357035979900786
Elias Lindholm,C,0.4092174757621266
Anthony Mantha,R,0.3518101600586514
Travis Sanheim,D,0.5083925252658141
Fabian Zetterlund,L,0.4393596549277673
Logan Cooley,C,0.3675215826703497
Brent Burns,D,0.478320160831858
Tyler Bertuzzi,L,0.401844257436024
Daniel Sprong,R,0.3252904332984505
Brandon Saad,L,0.3884270531155054
Anthony Duclair,L,0.3642320381558488
Shea Theodore,D,0.3139950158373638
Lawson Crouse,L,0.4001174202934465
Kirill Marchenko,R,0.3961439370493607
Moritz Seider,D,0.6126025350810469
Mason McTavish,C,0.3331125531600349
Ryan Strome,C,0.331504129161373
Sam Bennett,C,0.4076561715347677
Warren Foegele,L,0.3911902511157753
Nicolas Roy,C,0.3702334004890298
Jakob Chychrun,D,0.4915002227465004
Eeli Tolvanen,R,0.363794343284856
Morgan Frost,C,0.3509306793555356
Sean Durzi,D,0.4815109672367237
Reilly Smith,R,0.3525122707039219
Andrew Mangiapane,L,0.3585496284153837
Jake DeBrusk,L,0.4033504449219344
Trent Frederic,C,0.3565663115337146
Pierre-Luc Dubois,C,0.3665032177801315
Ross Colton,C,0.3717784779421533
Marco Rossi,C,0.3961168067883837
Mikael Backlund,C,0.4428068975115743
Cam Fowler,D,0.4311049947532127
Torey Krug,D,0.4298091371931333
Scott Laughton,C,0.3423026495888448
Gustav Forsling,D,0.5426858686728078
Rasmus Andersson,D,0.519760845807538
Evan Rodrigues,C,0.3860121775556608
Morgan Geekie,C,0.3601520518521875
Luke Evangelista,R,0.344074249582958
James van Riemsdyk,L,0.3146841266941411
Sean Couturier,C,0.3872741353899387
Tomas Hertl,C,0.3465260205562834
Jake Neighbours,L,0.3729750573563775
Jake Sanderson,D,0.5013218412577758
Cole Perfetti,C,0.3346472062873209
Nick Foligno,L,0.3493594320128363
Anders Lee,L,0.4056481236949849
Stefan Noesen,R,0.3138618283516909
Vladislav Namestnikov,C,0.32872515722093
Rickard Rakell,R,0.3566162922861838
Jaccob Slavin,D,0.5219095363876434
Matty Beniers,C,0.3778113878261772
